Smiles,AlogP,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI
CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)c(F)c4)c4c(N)ncnc43)CC2)CC1,5.48,13.53,0.26,2.32,6.83
Cc1cc(Cl)c2oc(Nc3ccc(-c4nn([C@H]5CC[C@@H](N6CCN(C)CC6)CC5)c5ncnc(N)c45)cc3)nc2c1,5.65,9.23,0.18,-0.37,4.63
Cc1cc(C)c2oc(Nc3ccc(-c4nn([C@H]5CC[C@@H](N6CCN(C)CC6)CC5)c5ncnc(N)c45)cc3F)nc2c1,5.45,9.47,0.18,-0.06,4.73
C=CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,4.29,24.41,0.48,4.08,12.5
CN1CCN(c2ccc(Nc3ncnc4cc5oc(=O)n(CCOC(=O)CBr)c5cc34)cc2Cl)CC1,3.62,12.99,0.28,3.86,7.08
CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21)S(C)(=O)=O,5.21,14.15,0.29,2.75,6.91
CC(C)O[C@@H]1[C@H](OC(C)C)[C@@H](COC(=O)CCCC(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)O[C@H]1n1cnc2c(N)ncnc21,3.46,8.73,0.17,1.89,2.77
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(C(F)(F)F)c5)cc4)c3c2)o1,6.37,10.8,0.21,0.07,6.06
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2)o1,5.35,14.35,0.27,2.24,7.13
OCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,4.21,16.87,0.3,2.41,6.4
OCCOc1n[nH]c2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,3.1,20.34,0.4,5.3,7.11
Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCCC4)c23)ccc1OCc1ccccn1,4.2,13.06,0.25,1.89,6.02
CS(=O)(=O)CCNC(=O)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc4sccc34)c(Cl)c2)NCC1,5.24,13.2,0.27,2.28,6.15
COC(=O)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc4sccc34)c(Cl)c2)NCC1,6.25,16.17,0.32,1.49,9.07
Fc1cccc(COc2ccc(Nc3ncnn4ccc(COC[C@@H]5CNCCO5)c34)cc2Cl)c1,4.35,12.55,0.24,1.9,7.63
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,4.35,14.93,0.27,2.62,10.03
N#Cc1cnc2ccc(NC(=O)/C=C/CN3CCOCC3)cc2c1Nc1ccc(F)c(Cl)c1,4.47,10.86,0.21,0.59,5.6
N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1,2.64,15.62,0.28,1.74,4.69
